db,query_img_id,query_pg_id,query_blood_name,query_num_blood_ids,query_mask_confidence,rank,gallery_img_id,gallery_pg_id,gallery_blood_name,distance,relevance,strength,shared_blood_ids,num_shared_blood_ids
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,1,100591,16-29-0155,山普森直子X山普森母亲889,0.8911498012636463,0.0,irrelevant,,0
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,2,345878,17-29-0201401,恩格斯178系X恩格斯231系,0.9108851710579169,0.0,irrelevant,,0
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,3,432130,17-29-0223491,恩格斯178系X恩格斯231系,0.9531668982130039,0.0,irrelevant,,0
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,4,101747,18-29-0008049,西北全能女王号母子近血,0.967854978511725,0.7882792916611798,strong,09-29-118576500|16-29-0123912|B03-6129799|B05-3185140|B99-3020065|N2007-2036936,6
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,5,432135,18-29-0338471,电脑/迪沃斯近血,0.9961014092842781,0.0,irrelevant,,0
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,6,342623,16-29-0123912,“完美号”/飞戈X贝壳詹森西北女王号,0.9999538053333255,0.7614883714501857,strong,16-29-0123912|B03-6129799|B05-3185140|B99-3020065|N2007-2036936,5
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,7,489520,17-29-0201404,飞戈海蒂948直系/悍将金红砂女,1.0047673788397216,0.0,irrelevant,,0
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,8,339002,NL12-1651449,波西瓦,1.0189567496542802,0.07469039189157667,weak,B99-3020065,1
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,9,343305,18-29-0026168,恩格斯系多重近亲,1.0203527305347784,0.0,irrelevant,,0
fusion_1024d_full,100614,18-29-0008046,西北全能女王号母子近血,7,0.914621,10,10666,B04-6035145,万候.尤特霍芬,1.0225772299665354,0.0,irrelevant,,0
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,1,380821,2005-01-475244,桑杰士,0.6542253597518735,0.7968503985161979,strong,2002-01-445232,1
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,2,601527,16-01-0231182,桑杰士,0.6602385881528986,0.0,irrelevant,,0
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,3,101124,08-926269,桑杰士,0.6645403769391274,0.7995648048841342,strong,2002-01-445232,1
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,4,479512,2016-01-0231019,桑杰士,0.6867217080114407,0.0,irrelevant,,0
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,5,667815,2018-01-0400533,桑杰士,0.6867581613317469,0.0,irrelevant,,0
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,6,632652,2006-01-440345,桑杰士,0.7153486959449644,0.0,irrelevant,,0
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,7,498519,2011-01-689480,桑杰士,0.7153870232701698,0.0,irrelevant,,0
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,8,529064,2012-01-389811,桑杰士,0.7233941512169085,0.0,irrelevant,,0
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,9,528409,2016-01-0231005,桑杰士,0.7274317310195283,0.0,irrelevant,,0
fusion_1024d_full,101115,CHN2002-01-445232,桑杰士,1,0.895648,10,372345,2005-01-325637,桑杰士,0.7293605455863847,0.0,irrelevant,,0
fusion_1024d_full,101728,CHN10-15-259348,马克.罗森斯,2,0.91624,1,501641,CHN2013-15-091144,马克.罗森斯,0.7723364651363637,0.0,irrelevant,,0
fusion_1024d_full,101728,CHN10-15-259348,马克.罗森斯,2,0.91624,2,401653,CC2011-082553,马克.罗森斯,0.7774274771374189,0.0,irrelevant,,0
fusion_1024d_full,101728,CHN10-15-259348,马克.罗森斯,2,0.91624,3,501629,CHN2012-15-215788,马克.罗森斯,0.8032337872044093,0.40160529010084667,strong,B94-9080164,1
fusion_1024d_full,101728,CHN10-15-259348,马克.罗森斯,2,0.91624,4,97563,CC10-401714,马克.罗森斯,0.8180989508856777,0.0,irrelevant,,0
fusion_1024d_full,101728,CHN10-15-259348,马克.罗森斯,2,0.91624,5,173316,CC04-299524,马克.罗森斯,0.8250017108321512,0.0,irrelevant,,0
fusion_1024d_full,101728,CHN10-15-259348,马克.罗森斯,2,0.91624,6,441746,CC2011-081269,马克.罗森斯,0.8699111780229237,0.0,irrelevant,,0
