img_id,blood_ids,blood_id_indices,blood_name,pg_id,num_blood_ids,sum_blood_idf,has_pg_id,has_blood_name,split
100201,N09-1331076|N67-2052951|N81-8152434,"[46351,49440,49479]",多利号回血,NL09-1331076,3,23.44060408070591,1,1,test
100591,01-29-008063|02-29-000523|04-29-000215|04-29-000239|04-29-030016|05-29-003889|06-29-027241|07-29-016607|07-29-016608|07-29-016675|07-29-016894|10-29-020115|20-29-088888,"[163,302,657,660,665,848,1066,1338,1339,1341,1345,2422,5936]",山普森直子X山普森母亲889,16-29-0155,13,109.11015853658459,1,1,test
100614,09-29-118576500|16-29-0123912|18-29-0008046|B03-6129799|B05-3185140|B99-3020065|N2007-2036936,"[2019,4903,5342,20841,22074,37550,48681]",西北全能女王号母子近血,18-29-0008046,7,54.09983709860611,1,1,test
101924,2004-01-108743|B94-6434152|N00-1807342|N00-1807347|N94-2412106|N94-2412892|N96-1606324,"[6591,35781,43433,43434,50066,50069,50293]",,2004-01-108743,7,63.452653118829055,1,0,test
102111,B03-6266119|B82-6380170|B87-2297197|B96-6615170|B99-3199502,"[20927,34088,34379,36546,37575]",胡本,B03-6266119,5,35.03289641242089,1,1,test
102335,09-20-003315|11-01-060209|11-01-060492|11-01-060729|11-01-061008|11-01-061236|11-01-061336|11-01-061352|11-01-061715|11-01-061771|11-01-061896|B02-3025837|B04-4277258|B06-5150016|B09-5188167,"[1990,2488,2489,2490,2491,2492,2493,2494,2495,2496,2497,19862,21380,23110,26012]",速霸龙x飞戈,CHN11-01-061771,15,134.964737409278,1,1,test
102658,2000-037586|N94-1380745|N96-2394517|N97-2530768|N98-2221756|N99-1870557,"[5959,50013,50360,50588,50795,51007]",凡龙.银影,,6,53.23309006931332,0,1,test
102707,B98-6594049|B99-6143980,"[37448,37764]",胡本,,2,12.662394330568066,0,1,test
102713,N93-4053083,[49972],好莱坞,AU2001-GFL-961,1,7.851310922004305,1,1,test
102714,N93-4053083,[49972],黄金配对,,1,7.851310922004305,0,1,test
102717,04-09-152721|98-10-539307|99-10-077594|99-10-539145|B96-3096016|N91-1122331|N97-1449357,"[581,18493,18547,18562,36262,49744,50486]",苍白骑士,CHN08-09-013193,7,47.12611082648888,1,1,test
102745,B81-6116651|B91-2306245,"[34046,34868]",红卡多*芬尼卡5000*红狐731,CHN09-15-205277,2,13.274285545709002,1,1,test
102847,B00-5150456|B02-5065076|B03-5241862|B05-5133416|B05-5220492|B10-5182723|B94-4407032,"[18853,20026,20775,22271,22320,26932,35629]",速霸龙,B10-5182723,7,57.29819319324314,1,1,test
103631,9341-98-770|D09341-98-770,"[18414,42826]",德拉帕,2009-16-018614,2,15.79693252347985,1,1,test
103833,B02-5051214|B84-2558479|B92-5000929|B92-5335457|B93-5010001|B94-5018042,"[20009,34147,35133,35166,35377,35650]",乔斯.托内,B06－5150283,6,52.29285421326686,1,1,test
103910,06-03-026553|06-27-000136,"[926,1061]",,,2,17.417420272100536,0,0,test
103911,05-27-000020|08-06-039298,"[844,1478]",,,2,18.516032560768643,0,0,test
103913,06-27-003868|08-06-039031,"[1064,1476]",,10-06-035849,2,17.599741828894487,1,0,test
103990,B04-6315208|B06-6307566|B2007-6390939|BLG1999-6340994|BLG1999-6343940|N10-1173488,"[21753,23469,33124,38817,38818,46590]",,,6,50.026636764443694,0,0,test
104014,04-03-062182|06-27-000136,"[529,1061]",,,2,17.417420272100536,0,0,test
104751,2003-10-209847,[6490],林波尔系,CHN2003-10-209847,1,9.05528372633024,1,1,test
104758,2003-10-209847|2004-10-289252,"[6490,6718]",林波尔系,CHN2004-10-289252,2,18.516032560768643,1,1,test
104855,2005-10-548306|N01-1822815,"[6989,43719]",总统163直女,CHN2005-10-548307,2,17.8228853802087,1,1,test
104963,10-29-130031|10-29-130032|12-29-081492|18-29-0558702,"[2426,2427,3329,5366]",飞戈悍将031配山普森特比环冠军,18-29-0558702,4,32.71457700800098,1,1,test
105409,2012-20-000878|B08-4122152|B09-4072803,"[11462,24808,25808]",苏斯通国际冠军家族,B10-4258636,3,25.897339853527214,1,1,test
105411,B02-3025837|B89-3160827,"[19862,34587]",小飞戈,BEL,2,13.479079958355015,1,1,test
105578,B00-5244099|B02-6455413,"[18872,20316]",藩塔尼,B05-5124315,2,18.11056745266048,1,1,test
10650,B00-6190647|B00-6340067|B04-6431023|B88-6502411|B89-6606996|B92-6074663|B92-6596037|B93-2434274|B93-6603756|B94-6599214|B94-6667010|B94-6667012|B95-6637863|B97-6355026|B99-6493886,"[18988,19048,21795,34551,34665,35183,35251,35296,35516,35816,35831,35832,36180,36877,37901]",桑杰士,B04-6431023,15,117.86215831500125,1,1,test
10658,B00-6098005|B04-6035128|B80-6816266|B86-6475024|B89-6089679|B89-6322089|B90-6324210|B90-6324298|B91-6183106|B93-6057627|B93-6057704|B94-6081590|B94-6081753|B96-6086384|B98-6084024,"[18902,21528,34026,34351,34618,34643,34806,34810,34954,35412,35416,35688,35692,36396,37227]",万侯,B04-6035128,15,126.64024674367475,1,1,test
106693,2011-2083011|2065-03-468|2065-03-479|2065-06-309|2065-08-161|2065-13-236|B02-2214269|B02-2214277|B02-2214283|B07-2055480|D02065-03-411|D02065-03-478,"[10415,17777,17779,17786,17788,17806,19811,19814,19816,23669,41978,41980]",戈马利,DV02065-13-236,12,96.01995366850304,1,1,test
106932,N00-5063949|N98-1933559,"[43576,50770]",考夫曼,NL06-1597645,2,15.471510123045222,1,1,test
108048,B01-4178925|B02-4247518|B07-4378473|B08-4061050|B94-4407032|B96-4391958|B98-4184712|B99-4393519|N08-2048793,"[19318,19947,23983,24775,35629,36337,37127,37640,46192]",速霸龙.原棚梦想家近亲,B07-4378473,9,66.48740307248244,1,1,test
108078,B07-6403719|B2001-6387174|B2001-6387351|B2002-00825499|B2003-6287006|B2003-6287053|B2005-6234009,"[24496,32452,32454,32463,32646,32647,32869]",佛卡门.贝克汉姆.外孙女,B07-6403719雌,7,65.00884651674434,1,1,test
108144,B02-6428464|B95-6274320,"[20311,36080]",,B2004-6293186,2,15.78600345294766,1,0,test
108260,B05-4045392|B08-2197596|B10-5020450|B91-4261261|B94-4407032|B95-4192444,"[22137,24630,26872,34911,35629,35960]",速霸龙,BELG2013-4050274,6,42.12978053744056,1,1,test
108265,N02-0271851|N03-0338900|N05-1387611|N05-1387621|N05-1387631|N07-1813423|N16-1019661,"[43896,44179,44946,44947,44948,45739,47640]",沙奇士原舍小白59号克拉克69,NL16-1019661雌,7,62.48311787243608,1,1,test
108267,B00-5150646|B01-5025766|B03-5115353|B03-5115456|B04-5065566|B04-5226586|B05-5220465|B12-5015196|B12-5015222100|B14-2041177|B95-5111423|B99-5271731,"[18859,19397,20750,20753,21470,21516,22317,28685,28688,29943,35996,37704]",阿曼德-史古梅斯.桑杰士,B14-2041177,12,101.68678557854052,1,1,test
108490,64-12020469|N00-1161906|N00-5035028|N02-0267486|N02-1921135|N03-4115798|N09-1421078|N11-3044534|N12-1822137|N92-0049525|N96-9622340|N97-1863169|N97-9781694|N98-9885826|N99-5939621,"[18186,43361,43554,43887,44042,44451,46384,47026,47194,49815,50444,50533,50660,50907,51112]",克拉克,NL12-1822137,15,134.74419463966387,1,1,test
109161,B00-3195099|B04-3230881|B06-3008003|B09-3095001|B10-3047084|B13-3159380|B98-3158062|B99-3199708,"[18716,21304,22865,25690,26654,29370,37096,37581]",盖比“闪电号直子X海王星直女”,B13-3159380雌,8,50.17743746933682,1,1,test
109817,09-32-600511,[2031],019X速霸龙,CHN09-32-600511,1,8.362136545770294,1,1,test
110019,B1995-2461463|B1997-2252099|B1997-4263065|B1999-2017712|B2002-2328491|B2003-4316043,"[31970,32055,32069,32187,32473,32605]",帝卢-速霸龙,B2008-2197693,6,55.54809768230593,1,1,test
110024,N01-1135600|N07-1369948|N2003-1731818|N2004-1560084,"[43651,45630,48314,48359]",考夫曼,NL2010-1271446,4,36.456700976633726,1,1,test
110116,B03-6266404|B03-6266447,"[20947,20948]",胡本,胡本017,2,17.312059756442707,1,1,test
110706,B00-2044982|B04-2292960|B07-2015494|B92-2488909|B92-5122109|B96-5025356|B96-6515027,"[18602,21220,23642,35078,35148,36355,36517]",桑杰士,B07-2015494,7,59.80850955855651,1,1,test
110849,B00-5150509|B01-5025722|B97-5204402|B97-5204418|B97-5204444|B99-5105105,"[18855,19395,36772,36774,36778,37679]",＂罗森波斯＂桑杰仕,CHN2006-03-303068,6,45.18887447232178,1,1,test
111355,B02-6074071,[20090],瓦特,B02-6074071,1,9.460748834438405,1,1,test
111809,02-02-388555|02-03-388555,"[210,227]",詹森*火箭,199299,2,18.516032560768643,1,1,test
111840,03-10-164657|07-10-023009|B93-6570072|B96-6598549|B97-6548462|B98-6492040|B98-6589991|N00-2086703|N03-0327298|N94-1554359|N94-1554367,"[428,1254,35511,36536,36925,37390,37436,43483,44177,50028,50029]",,CHN07-10-023009,11,97.54110196795138,1,0,test
111845,1999-2427072|2001-1822603|2005-1339770|2006-1016507|N2005-1339701,"[5912,6146,7004,7314,48421]",,NL-2006-1016507,5,46.89827906408386,1,0,test
